,Train with a buddy,30+ minutes resistance training,25+ minute walk,Try a protein drink & share your favorite shake recipe,30+ minutes resistance training
,
,15 minute core strength workout,30+ minutes resistance training,"10,000 steps",Train with a buddy,Try a protein drink & share your favorite shake recipe
,20+ minutes cardio,Max push ups,15 minute HIIT circuit,Get active in an unusual place,45+ minutes resistance training
,"15,000 steps",Log your water intake (aim for 100+ oz),,Max tricep dips,Time your best plank
,Three home cooked healthy meals,Yoga routine,"Go out of your way to get extra exercise (take stairs, park in back of lot, etc.)",Eat a healthy salad,25+ minute walk
,30+ minutes resistance training,No processed foods,30+ minutes resistance training,30+ minutes cardio,30+ minutes resistance training
,
,"15,000 steps",Three home cooked healthy meals,Max tricep dips,30+ minutes resistance training,30+ minutes resistance training
,20+ minutes cardio,Time your best plank,"10,000 steps",30+ minutes resistance training,"Go out of your way to get extra exercise (take stairs, park in back of lot, etc.)"
,25+ minute walk,No processed foods,,Train with a buddy,Eat a healthy salad
,15 minute HIIT circuit,Log your water intake (aim for 100+ oz),30+ minutes cardio,Yoga routine,30+ minutes resistance training
,Max push ups,15 minute core strength workout,45+ minutes resistance training,Get active in an unusual place,Try a protein drink & share your favorite shake recipe
,
,30+ minutes resistance training,"15,000 steps",Eat a healthy salad,Yoga routine,Max tricep dips
,Three home cooked healthy meals,Train with a buddy,20+ minutes cardio,Time your best plank,15 minute core strength workout
,"Go out of your way to get extra exercise (take stairs, park in back of lot, etc.)","10,000 steps",,Log your water intake (aim for 100+ oz),Get active in an unusual place
,15 minute HIIT circuit,No processed foods,30+ minutes resistance training,25+ minute walk,30+ minutes cardio
,Max push ups,45+ minutes resistance training,30+ minutes resistance training,Try a protein drink & share your favorite shake recipe,30+ minutes resistance training
,
,"10,000 steps","15,000 steps",30+ minutes cardio,Yoga routine,Time your best plank
,30+ minutes resistance training,Three home cooked healthy meals,30+ minutes resistance training,15 minute core strength workout,15 minute HIIT circuit
,No processed foods,Log your water intake (aim for 100+ oz),,Train with a buddy,30+ minutes resistance training
,25+ minute walk,Eat a healthy salad,30+ minutes resistance training,Try a protein drink & share your favorite shake recipe,"Go out of your way to get extra exercise (take stairs, park in back of lot, etc.)"
,45+ minutes resistance training,20+ minutes cardio,Max push ups,Max tricep dips,Get active in an unusual place
,
